objectid,filename,youtubeid,title,creator,date,description,subject,location,identifier,type,format,language,rights,rightsstatement
CWL.001,Morning_Routine.jpg,,Morning Routine for a Productive Day,Chesca,2025,"I don’t have a good morning routine, but this is what I do.",Routhine,House,Morning_Routine,image,jpg,eng,copyright,http://rightsstatements.org/vocab/InC/1.0/
CWL.002,deal_stress.jpg,,Dealing with my Stress and Anxiety,Chesca,2025,"When I’m stressed, I take a break and go for a stroll.",stress,Nature view,deal_stress.,image,jpg,eng,copyright,http://rightsstatements.org/vocab/InC/1.0/
CWL.003,self_care.jpg,,doin my self care,Chesca,2024,"Self-care is a must! Even just a 30-minute break—I'm already very tired, but it’s refreshing, Then I take pictures of the sunset.",care,Ipil,self_care,image,jpg,eng,copyright,http://rightsstatements.org/vocab/InC/1.0/
CWL.004,study_hacks.jpg,,My Favorite Study Hacks,Chesca,2025,"Pomodoro Technique works for me! 25 minutes of focus, 5 minutes break. And of course, coffee is my best friend. ☕",hacks,House,study_hacks,image,jpg,eng,copyright,http://rightsstatements.org/vocab/InC/1.0/
CWL.005,self_confidence.jpg,,Building My Self_Confidence,Chesca,2026,"Kapag confident ako, masaya ako! Focus on your strengths and try new things. You got this !",confidence,Surigao City,self_confidence.,image,jpg,eng,copyright,http://rightsstatements.org/vocab/InC/1.0/
CWL.006,Embracing_Imperfection.jpg,,The way i Embracing my Imperfection,Chesca,2026,Okay lang magkamali. Imperfection is part of life! Be kind to yourself .,imperfection,Surigao City,Embracing_Imperfection,image,jpg,eng,copyright,http://rightsstatements.org/vocab/InC/1.0/
